	year	 month	carrier	carrier_name	airport	airport_name	arr_flights	arr_del15	carrier_ct	 weather_ct	nas_ct	security_ct	late_aircraft_ct	arr_cancelled	arr_diverted	 arr_delay	 carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	Unnamed: 21
62	2003	11	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	29.0	7.0	1.8	1.0	4.2	0.0	0.0	0.0	0.0	240.0	84.0	31.0	125.0	0.0	0.0	
63	2003	11	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	426.0	200.0	7.38	3.42	167.78	0.0	21.42	17.0	1.0	13059.0	339.0	311.0	11145.0	0.0	1264.0	
64	2003	11	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	3997.0	1764.0	189.93	16.3	1461.58	1.76	94.42	231.0	11.0	123729.0	13832.0	1464.0	101383.0	153.0	6897.0	
65	2003	11	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	471.0	208.0	19.36	0.0	179.71	0.0	8.93	22.0	0.0	11875.0	1097.0	0.0	10173.0	0.0	605.0	
66	2003	11	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	142.0	47.0	6.92	5.11	32.27	0.0	2.7	12.0	1.0	3153.0	542.0	316.0	2151.0	0.0	144.0	
67	2003	11	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	229.0	90.0	7.99	0.0	76.56	0.0	5.45	8.0	1.0	6132.0	537.0	0.0	4979.0	0.0	616.0	
68	2003	11	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	6337.0	2608.0	129.83	32.74	1558.78	0.99	885.66	511.0	17.0	143476.0	9779.0	2411.0	82496.0	52.0	48738.0	
69	2003	11	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	640.0	268.0	21.47	72.59	163.98	1.0	8.96	41.0	0.0	12802.0	972.0	4613.0	6534.0	23.0	660.0	
70	2003	11	OO	SkyWest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	185.0	70.0	11.0	1.0	54.0	0.0	4.0	17.0	0.0	5021.0	514.0	120.0	4083.0	0.0	304.0	
71	2003	11	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	178.0	93.0	3.37	2.0	78.91	0.0	8.71	11.0	0.0	6368.0	159.0	59.0	5619.0	0.0	531.0	
72	2003	11	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	10005.0	3246.0	238.24	14.18	2677.57	0.0	316.01	188.0	27.0	217043.0	16968.0	1815.0	175457.0	0.0	22803.0	
73	2003	11	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	497.0	206.0	5.87	1.44	177.99	0.0	20.7	24.0	1.0	10843.0	273.0	52.0	9190.0	0.0	1328.0	
74	2003	12	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	8576.0	3130.0	244.45	97.9	2219.58	4.0	564.06	308.0	5.0	164793.0	18379.0	6259.0	103151.0	365.0	36639.0	
75	2003	12	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	31.0	13.0	4.34	0.73	7.93	0.0	0.0	0.0	0.0	638.0	220.0	132.0	286.0	0.0	0.0	
76	2003	12	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	435.0	182.0	5.83	1.95	155.99	0.0	18.23	23.0	0.0	9410.0	208.0	187.0	7597.0	0.0	1418.0	
77	2003	12	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	4142.0	1899.0	214.31	16.31	1507.69	4.82	155.88	154.0	1.0	110878.0	15340.0	1663.0	83431.0	142.0	10302.0	
78	2003	12	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	503.0	210.0	35.7	2.65	137.17	0.0	34.48	22.0	0.0	9724.0	2137.0	249.0	5090.0	0.0	2248.0	
79	2003	12	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	147.0	44.0	10.72	1.83	26.71	0.0	4.74	9.0	0.0	1989.0	535.0	45.0	1244.0	0.0	165.0	
80	2003	12	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	241.0	105.0	13.54	0.89	81.82	0.0	8.75	5.0	0.0	4962.0	603.0	32.0	3810.0	0.0	517.0	
81	2003	12	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	6780.0	2812.0	162.45	24.71	1524.14	0.57	1100.12	255.0	2.0	134683.0	13683.0	2529.0	61596.0	15.0	56860.0	
82	2003	12	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	622.0	250.0	32.68	58.58	148.17	0.24	10.32	30.0	0.0	10382.0	1552.0	2935.0	5230.0	12.0	653.0	
83	2003	12	OO	SkyWest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	205.0	86.0	27.0	2.0	54.0	1.0	2.0	13.0	0.0	4788.0	1067.0	257.0	3372.0	25.0	67.0	
84	2003	12	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	175.0	77.0	7.79	1.6	58.21	0.0	9.4	3.0	0.0	4911.0	762.0	219.0	3410.0	0.0	520.0	
85	2003	12	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	10326.0	2988.0	367.82	40.97	2199.33	0.0	379.88	192.0	4.0	158314.0	20164.0	2596.0	109612.0	0.0	25942.0	
86	2003	12	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	513.0	216.0	18.81	2.22	170.87	0.0	24.09	20.0	0.0	9027.0	856.0	146.0	6720.0	0.0	1305.0	
